id,trigger,conditions,script,text,options,notes
,,,,,,
#RULESET_NAME hegmod,,,,,,
hegmod_corbyBarMeetingEvent,AddBarEvents,"$market.id == jangala
!$player.hegmod_metCorbystart
!$global.hegtales_house_ossum_start","AddBarEvent hegmod_MeetingCorby ""Meet with the large man in the back."" ""In a far and dark spot, a large man eating a huge steak catches your eye. He seemse to be well content."" highlight",,,
hegmod_corbyMeeting,DialogOptionSelected,$option == hegmod_MeetingCorby,"BeginConversation hegtales_corby
ShowPersonVisual
$player.hegmod_metCorbystart = true
SetPersonHidden hegtales_corby false
AddPotentialContact hegtales_corby","The large man observes your approach without stopping eating his steak, he stops as you sit in front of him..

You speak with the man at length about a variety of topics. As he keeps devouring more meat, he tells you that he been traveling the hyperspace since his youth. He speaks of the vastness of space and the profit that could be taken from it. Not to be gluttonous for the sake of it, but as a reward of a job well done.

""Hear me, if you need some work, you can come to me. I know some of the uppity folks here in Eventide... So if  you want even more money, I can give you some contacts."" The man named Corby finishes.
","hegmod_corby_barEvent1:""I'll think about it..""
hegmod_corby_barEvent2:""Thanks. I appreciate it.""",
hegmod_corbyMeeting1,DialogOptionSelected,$option == hegmod_corby_barEvent1,"$option = hegmod_corby_barEvent4 0
FireBest DialogOptionSelected",,,
hegmod_corbyMeeting2,DialogOptionSelected,$option == hegmod_corby_barEvent2,"$option = hegmod_corby_barEvent4 0
FireBest DialogOptionSelected
$player.ethosOrder++",,,
hegmod_corbyMeeting4,DialogOptionSelected,$option == hegmod_corby_barEvent4,"AdjustRepActivePerson WELCOMING 1
BarCMD returnFromEvent false","Corby smiles widely with his huge smile as he pats his now satisfied belly.

""Remember kid, wherever money is made, that's where there's a chance of profit. Find me in Jangala if you need work.""

A hearty laugh escapes his lips as another bar patron hands him a huge glass of ale. Which he gulps down as if it was water.

""See you around kid. Don't die too soon.""",backToBar:Take a look around the bar,
,,,,,,
# Corby talk,,,,,,
hegmod_corbyQuestion1,PopulateOptions,"$id == hegtales_corby score:1000
!$player.hasAustraliscommsid
",,,"hegmod_corbyAskForContact:""I want to meet your Hegemony contact.""",
hegmod_corbyAskForContactDenyFirstTime,DialogOptionSelected,"$option == hegmod_corbyAskForContact
!$askedForAustralis","AddPotentialContact hegtales_corby
$askedForAustralis = true","Corby just starts laughing, putting his hands on his massive belly. Maybe he should put the camera closer to his face.

""If I gave my 'noble' contact to every fool that came around asking' it wouldn't be a contact for long. Work for me. Do some of my missions, then come back to me. We can work something out.""",,
hegmod_corbyAskForContactDeny,DialogOptionSelected,"$option == hegmod_corbyAskForContact
",AddPotentialContact hegtales_corby,"""I still don't know if I can trust you kid, maybe do some more work for me.""",,
hegmod_corbyAskForContactAccept,DialogOptionSelected,"$option == hegmod_corbyAskForContact score:10000
$player.corbycompletedquest1","$player.hasAustraliscommsid = true
SetPersonHidden hegtales_australis false
AddTextSmall ""--Received comms ID for Australis Ossum--"" highlight
AddTextSmall ""--He's located in Eventide--"" grey","The large man seems to have been annihilating a volturnian lobster, his usual smile appearing on his big face. You can almost smell him through the screen.

""Young $ManOrWoman! you have made me make a huge amount of money. I have sent your information to Australis... He's from House Ossum, you know. Big old family. One of the big ones in Eventide. Enjoy yourself. Here's his comm ID...""","cutCommLink:""Thanks"" (cut comm-link)",
greetingCorbyDefault,PickGreeting,$id == hegtales_corby score:1000,"BeginConversation hegtales_corby
FireAll PopulateOptions","Almost immediately you see the large man, once again eating in front of the screen.

""Its you, ehm.... $playerName! Right?"" He says hurriedly. ""Are you here for work?""",,
#END Corby talk,,,,,,
"hegmod_corbytalkstart

",PopulateOptions,"$id == hegtales_corby score:1000
",,,"hegtales_corbytalk:""I want to know more about you.""",
hegtales_corbytalk,DialogOptionSelected,$option == hegtales_corbytalk,FireAll hegtales_corbytalkQuestions,"$personName seems surprised that anyone wants to know more about him, putting his food aside for a moment as he nods slowly.
","hegtales_corbytalkQuestionsCorby:""Ask him about his work.""
hegtales_corbytalkQuestionsEventide:""Ask him about Eventide.""
hegtales_corbytalkQuestionsContact:""Who's your contact?""
hegtales_corbytalkQuestionsCancel:""On a second thought...""",
"hegtales_corbytalkQuestionsCorby
",DialogOptionSelected,$option == hegtales_corbytalkQuestionsCorby,,"Corby looks around the room he's inside. Seeing the many expensive luxuries and old trophies. 

""I used to be a spacer like you, kid. Few years ago. Did runs from Asher to Gilead. Made my own name and my group. The Luddic Church enjoyed my services, but in one of those trips I met an ambassador from the Hegemony. He convinced me to move my operation to Jangala and here I am... Working for the nobles of Eventide."" 

""Let me tell you a thing or two about space trading kid, you can smuggle and do whatever those shady folks do, but it's dangerous. Better stick to a large trade fleet."" There is a hint of sarcasm about what he is saying.",,
hegtales_corbytalkQuestionsEventide,DialogOptionSelected,$option == hegtales_corbytalkQuestionsEventide,,"""Nobles and serfs, a tale old as time. Rich people in castles and mansions live in normal conditions, like in Gilead, but then you have the poor sods living in perpetual darkness. Not a nice life. I have been in both places but nowadays I enjoy staying in space. Help me with my weight."" 

He gives a hearty laugh before looking serious. ""You might think the Lords and Nobles are quite annoying and scheming, you might be right... but there are a few ones that work for the best of all people in the Hegemony.""",,
hegtales_corbytalkQuestionsContact,DialogOptionSelected,$option == hegtales_corbytalkQuestionsContact,,"""He's the less known brother to the so-called Lord of Bones, part of the House of Ossum. They have huge ties with the Luddic Church since they are quite faithful and all those things. One of the reasons why I got along with them pretty well. His father is the reason why I moved to this place after all. Smart guy. Easy going. If you want to get in the good graces with the Hegemony and make some credits on the side, that's your man.""",,
hegtales_corbytalkQuestionsCancel,DialogOptionSelected,$option == hegtales_corbytalkQuestionsCancel,FireAll PopulateOptions,,,
#END Corby talk,,,,,,
# corbygifts,,,,,,
CorbyResponseOfferluxury,PopulateOptions,$id == hegtales_corby score:1000,"SetEnabled CorbyMakeOffering false
SetTooltip CorbyMakeOffering ""You do not have 100 units of luxury goods for a gift.""
FireBest CorbyOfferingOptionCheck",,0:CorbyMakeOffering:Offer luxury goods as a gift.,
CorbyOfferingOptionCheck,CorbyOfferingOptionCheck,PlayerHasCargo luxury_goods 100,"SetEnabled CorbyMakeOffering true
SetTooltip CorbyMakeOffering ""Give 100 Luxury Goods to Corby""",,,
CorbyOfferingAlreadyMade,DialogOptionSelected,"$option == CorbyMakeOffering
$offeringMade score:100",,"""I would love to accept this gift..."" Corby mumbles, ""But several officials will ask where these goods are coming from... and I am running a 'clean' operation from now on.""

He gives a small wink.",,
CorbyOfferingEnough,DialogOptionSelected,$option == CorbyMakeOffering,"SetTextHighlightColors buttonShortcut
SetTextHighlights ""100"" ""luxury goods""
","""A gift! I knew that I could trust you kid."" The large man gives a huge smile and looks at his screens. 

He explains how a shuttle can be sent to his station with the transferred goods without a single inspection or problem.","0:CorbyGiveOffering:Transfer 100 luxury goods
1:CorbyCancelOffering:Never mind",
CorbyGiveOffering,DialogOptionSelected,$option == CorbyGiveOffering,"AddText ""The arrangements are made and Corby promises that his contact will surely accept this expensive gift.""
AddRemoveCommodity luxury_goods -100 true
AdjustRepActivePerson 5
$offeringMade = true 60
FireAll PopulateOptions",,,
CorbyCancelOffering,DialogOptionSelected,$option == CorbyCancelOffering,FireAll PopulateOptions,,,
#END corbygifts,,,,,,
,,,,,,
# Corby quest 1 Thanks to Osiris,,,,,,
CorbyQuest1StarterOption,PopulateOptions,"$id == hegtales_corby
# $rel > 0.35 score:1000
!$global.hegtales_Quest1_ref score:1000
!$global.hegtales_Quest1Accepted",SetOptionColor CorbyQuest1StarterOption2 highlight,,"CorbyQuest1StarterOption2:""Do you have any interesting jobs?""",
CorbyQuest1StarterOption1,DialogOptionSelected,$option == CorbyQuest1StarterOption1,,"""The large man leans back and seems deep in thought, a lightbulb turning on behind him at the same time as he starts speaking.

""There's a group of annoying pirates in Corvus, lead by some psycho called Servum. They usually hang out in the orbit of Asharu... They are technically not pirates... but you get the idea. Deal with him, recover some of his cargo and I will speak with my contact.""",CorbyQuest1StarterOption2:Continue,
CorbyQuest1StarterOption2,DialogOptionSelected,$option == CorbyQuest1StarterOption2,hegShowQuestIntel hegtales_Quest1,"Corby taps his greasy pad. ""They seem pretty dangerous, but as I told you. They are just pirates and you seem like the kind of kid that knows how to deal with them.""

""Get me their cargo, don't worry about the authorities, I will use some of those 'contacts' that you want so much."" He wiggles his eyebrows","CorbyQuest1StarterAccept:""I'll get rid of them.""
CorbyQuest1StarterDecline:""I am having second thoughts...""",
CorbyQuest1StarterAccept,DialogOptionSelected,$option == CorbyQuest1StarterAccept,"BeginMission hegtales_Quest1
$global.hegtales_Quest1Accepted = true
FireAll PopulateOptions","""Great! I got a meal to eat, but go ahead, don't forget to bring me their shipment!""",,
CorbyQuest1StarterDecline,DialogOptionSelected,$option == CorbyQuest1StarterDecline,AdjustRepActivePerson SUSPICIOUS -5,"""You are seriously testing my patience kid."" Corby simply cuts the comms.","cutCommLink:""Okay?"" (cut comm-link)",
hegtales_Quest1PirateDefeated,hegtales_Quest1PirateDefeated,$someShipsDestroyed,"SetTextHighlights ""Suspicious Cargo""

$global.hegtales_Quest1_suspicious_cargo = true
Call $global.hegtales_Quest1_ref updateStage
",Your crew gathers the remains of the destroyed ships. You find some crates of Suspicious Cargo and bring them to your ships.,,
hegtales_Quest1PirateDefeatedOption,PopulateOptions,"$id == hegtales_corby
$hegtales_Quest1_contact",SetOptionColor CorbyQuest1RewardOption highlight,,"CorbyQuest1RewardOption:""The Servos won't be a problem anymore.""",
